CIIU;Fecha;Mes;Nit;Ingresos_Ordinarios;Costo_de_ventas;Anio;Tasa_desempleo;Var_Tasa_desempleo;Indice_Precios_Vivienda_Nueva;Var_Indice_Precios_Vivienda_Nueva;Indice_Real_Precios_Vivienda_Usada;Var_Indice_Real_Precios_Vivienda_Usada;Inflacion;Variacion_PIB_Real;Salario_Minimo;Var_Salario_Minimo;TRM;Var_TRM;UVR;Var_UVR;Var_IPP;Var_ICCV;Var_FIVI
F4290 - Construccion de otras obras de ingenieria civil;31/12/2019;12;890201201;292858833;270164387;2019;9.531748807;-0.189341308;175.6866559;0.006188091;143.8172983;0.030879125;3.8;3.322;828116;6.00;3277.14;0.008428341;270.7132;3.85;0.046617056;2.84;3.2
F4290 - Construccion de otras obras de ingenieria civil;31/12/2018;12;890201201;143033601;129352200;2018;9.721090115;1.093701182;174.606177;0.0167527;139.5093709;0.034409247;3.18;2.515;781242;5.90;3249.75;0.089058311;260.6658;3.28;0.030861476;2.49;8.6
F4111 - Construccion de edificios residenciales;31/12/2019;12;800142592;0;0;2019;9.531748807;-0.189341308;175.6866559;0.006188091;143.8172983;0.030879125;3.8;3.322;828116;6.00;3277.14;0.008428341;270.7132;3.85;0.046617056;2.84;3.2
F4111 - Construccion de edificios residenciales;31/12/2018;12;800142592;0;0;2018;9.721090115;1.093701182;174.606177;0.0167527;139.5093709;0.034409247;3.18;2.515;781242;5.90;3249.75;0.089058311;260.6658;3.28;0.030861476;2.49;8.6
F4111 - Construccion de edificios residenciales;31/12/2019;12;900816079;11087682;11030811;2019;9.531748807;-0.189341308;175.6866559;0.006188091;143.8172983;0.030879125;3.8;3.322;828116;6.00;3277.14;0.008428341;270.7132;3.85;0.046617056;2.84;3.2
F4111 - Construccion de edificios residenciales;31/12/2018;12;900816079;22275163;21996807;2018;9.721090115;1.093701182;174.606177;0.0167527;139.5093709;0.034409247;3.18;2.515;781242;5.90;3249.75;0.089058311;260.6658;3.28;0.030861476;2.49;8.6
F4111 - Construccion de edificios residenciales;31/12/2019;12;900412326;0;0;2019;9.531748807;-0.189341308;175.6866559;0.006188091;143.8172983;0.030879125;3.8;3.322;828116;6.00;3277.14;0.008428341;270.7132;3.85;0.046617056;2.84;3.2
F4111 - Construccion de edificios residenciales;31/12/2018;12;900412326;0;0;2018;9.721090115;1.093701182;174.606177;0.0167527;139.5093709;0.034409247;3.18;2.515;781242;5.90;3249.75;0.089058311;260.6658;3.28;0.030861476;2.49;8.6
F4111 - Construccion de edificios residenciales;31/12/2019;12;900844747;21525601;20363988;2019;9.531748807;-0.189341308;175.6866559;0.006188091;143.8172983;0.030879125;3.8;3.322;828116;6.00;3277.14;0.008428341;270.7132;3.85;0.046617056;2.84;3.2
F4111 - Construccion de edificios residenciales;31/12/2018;12;900844747;0;0;2018;9.721090115;1.093701182;174.606177;0.0167527;139.5093709;0.034409247;3.18;2.515;781242;5.90;3249.75;0.089058311;260.6658;3.28;0.030861476;2.49;8.6
F4329 - Otras instalaciones especializadas;31/12/2019;12;900196414;30898956;29023811;2019;9.531748807;-0.189341308;175.6866559;0.006188091;143.8172983;0.030879125;3.8;3.322;828116;6.00;3277.14;0.008428341;270.7132;3.85;0.046617056;2.84;3.2
F4329 - Otras instalaciones especializadas;31/12/2018;12;900196414;33269955;29371894;2018;9.721090115;1.093701182;174.606177;0.0167527;139.5093709;0.034409247;3.18;2.515;781242;5.90;3249.75;0.089058311;260.6658;3.28;0.030861476;2.49;8.6
F4111 - Construccion de edificios residenciales;31/12/2019;12;900220409;3123106;1779993;2019;9.531748807;-0.189341308;175.6866559;0.006188091;143.8172983;0.030879125;3.8;3.322;828116;6.00;3277.14;0.008428341;270.7132;3.85;0.046617056;2.84;3.2
F4111 - Construccion de edificios residenciales;31/12/2018;12;900220409;4566094;3920804;2018;9.721090115;1.093701182;174.606177;0.0167527;139.5093709;0.034409247;3.18;2.515;781242;5.90;3249.75;0.089058311;260.6658;3.28;0.030861476;2.49;8.6
